"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Any_alta_padro","Nombre"
2021,8,"Nou Barris",54,"Torre Baró","Dones","Més de 15 anys",672
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Més de 15 anys",2255
2021,8,"Nou Barris",56,"Vallbona","Dones","Més de 15 anys",314
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Més de 15 anys",2168
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","Més de 15 anys",715
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","Més de 15 anys",3445
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","Més de 15 anys",19011
2021,9,"Sant Andreu",61,"la Sagrera","Dones","Més de 15 anys",8962
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Més de 15 anys",4361
2021,9,"Sant Andreu",63,"Navas","Dones","Més de 15 anys",6841
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Més de 15 anys",10990
2021,10,"Sant Martí",65,"el Clot","Dones","Més de 15 anys",8045
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Més de 15 anys",4170
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Més de 15 anys",2619
2021,10,"Sant Martí",68,"el Poblenou","Dones","Més de 15 anys",8879
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Més de 15 anys",3374
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Més de 15 anys",5511
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Més de 15 anys",6058
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Més de 15 anys",8279
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Més de 15 anys",9133
2021,1,"Ciutat Vella",1,"el Raval","Dones","No consta",12
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","No consta",8
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","No consta",2
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","No consta",15
2021,2,"Eixample",5,"el Fort Pienc","Dones","No consta",9
2021,2,"Eixample",6,"la Sagrada Família","Dones","No consta",16
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","No consta",13
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","No consta",7
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","No consta",19
2021,2,"Eixample",10,"Sant Antoni","Dones","No consta",13
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","No consta",16
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","No consta",0
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","No consta",9
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","No consta",1
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","No consta",6
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","No consta",6
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","No consta",4
2021,3,"Sants-Montjuïc",18,"Sants","Dones","No consta",14
2021,4,"Les Corts",19,"les Corts","Dones","No consta",5
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","No consta",3
2021,4,"Les Corts",21,"Pedralbes","Dones","No consta",7
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","No consta",1
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","No consta",15
