activity_period,activity_type_code,boarding_area,geo_region,geo_summary,operating_airline,operating_airline_iata_code,passenger_count,price_category_code,published_airline,published_airline_iata_code,terminal
200512,Deplaned,A,Europe,International,Air France,AF,7158,Other,Air France,AF,International
200512,Enplaned,A,Europe,International,Air France,AF,7456,Other,Air France,AF,International
200512,Deplaned,G,Australia / Oceania,International,Air New Zealand,NZ,7406,Other,Air New Zealand,NZ,International
200512,Enplaned,G,Australia / Oceania,International,Air New Zealand,NZ,6473,Other,Air New Zealand,NZ,International
200512,Deplaned,A,US,Domestic,AirTran Airways,FL,5847,Low Fare,AirTran Airways,FL,International
200512,Enplaned,A,US,Domestic,AirTran Airways,FL,5844,Low Fare,AirTran Airways,FL,International
200512,Deplaned,A,US,Domestic,Alaska Airlines,AS,27640,Other,Alaska Airlines,AS,International
200512,Enplaned,A,US,Domestic,Alaska Airlines,AS,35412,Other,Alaska Airlines,AS,International
200512,Thru / Transit,A,US,Domestic,Alaska Airlines,AS,5903,Other,Alaska Airlines,AS,International
200512,Deplaned,A,Canada,International,Alaska Airlines,AS,6655,Other,Alaska Airlines,AS,International
200512,Enplaned,A,Canada,International,Alaska Airlines,AS,6847,Other,Alaska Airlines,AS,International
200512,Thru / Transit,A,Canada,International,Alaska Airlines,AS,147,Other,Alaska Airlines,AS,International
200512,Deplaned,A,Mexico,International,Alaska Airlines,AS,9142,Other,Alaska Airlines,AS,International
200512,Enplaned,A,Mexico,International,Alaska Airlines,AS,12586,Other,Alaska Airlines,AS,International
200512,Thru / Transit,A,Mexico,International,Alaska Airlines,AS,1737,Other,Alaska Airlines,AS,International
200512,Deplaned,G,Asia,International,All Nippon Airways,NH,5355,Other,All Nippon Airways,NH,International
200512,Enplaned,G,Asia,International,All Nippon Airways,NH,5895,Other,All Nippon Airways,NH,International
200512,Deplaned,E,US,Domestic,American Airlines,AA,127085,Other,American Airlines,AA,Terminal 3
200512,Enplaned,E,US,Domestic,American Airlines,AA,130393,Other,American Airlines,AA,Terminal 3
200512,Deplaned,E,US,Domestic,American Eagle Airlines,MQ,4423,Other,American Airlines,AA,Terminal 3
200512,Enplaned,E,US,Domestic,American Eagle Airlines,MQ,4313,Other,American Airlines,AA,Terminal 3
200512,Deplaned,A,Asia,International,Asiana Airlines,OZ,4768,Other,Asiana Airlines,OZ,International
200512,Enplaned,A,Asia,International,Asiana Airlines,OZ,5020,Other,Asiana Airlines,OZ,International
200512,Deplaned,A,Europe,International,British Airways,BA,15058,Other,British Airways,BA,International
200512,Enplaned,A,Europe,International,British Airways,BA,15271,Other,British Airways,BA,International
200512,Deplaned,A,Asia,International,Cathay Pacific,CX,9813,Other,Cathay Pacific,CX,International
200512,Enplaned,A,Asia,International,Cathay Pacific,CX,10442,Other,Cathay Pacific,CX,International
200512,Deplaned,A,Asia,International,China Airlines,CI,9680,Other,China Airlines,CI,International
200512,Enplaned,A,Asia,International,China Airlines,CI,11506,Other,China Airlines,CI,International
200512,Deplaned,C,US,Domestic,Delta Air Lines,DL,21336,Low Fare,Delta Air Lines,DL,Terminal 1
200512,Deplaned,C,US,Domestic,Delta Air Lines,DL,54864,Other,Delta Air Lines,DL,Terminal 1
200512,Enplaned,C,US,Domestic,Delta Air Lines,DL,22322,Low Fare,Delta Air Lines,DL,Terminal 1
200512,Enplaned,C,US,Domestic,Delta Air Lines,DL,57401,Other,Delta Air Lines,DL,Terminal 1
200512,Deplaned,G,Asia,International,EVA Airways,BR,11032,Other,EVA Airways,BR,International
200512,Enplaned,G,Asia,International,EVA Airways,BR,12336,Other,EVA Airways,BR,International
200512,Deplaned,B,US,Domestic,Frontier Airlines,F9,12855,Low Fare,Frontier Airlines,F9,Terminal 1
200512,Enplaned,B,US,Domestic,Frontier Airlines,F9,13049,Low Fare,Frontier Airlines,F9,Terminal 1
200512,Deplaned,C,US,Domestic,Hawaiian Airlines,HA,7024,Other,Hawaiian Airlines,HA,Terminal 1
200512,Enplaned,C,US,Domestic,Hawaiian Airlines,HA,7602,Other,Hawaiian Airlines,HA,Terminal 1
200512,Deplaned,B,US,Domestic,Horizon Air ,QX,4113,Other,Alaska Airlines,AS,Terminal 1
200512,Enplaned,B,US,Domestic,Horizon Air ,QX,4462,Other,Alaska Airlines,AS,Terminal 1
200512,Deplaned,A,Asia,International,Japan Airlines,JL,7094,Other,Japan Airlines,JL,International
200512,Enplaned,A,Asia,International,Japan Airlines,JL,9192,Other,Japan Airlines,JL,International
200512,Deplaned,A,Europe,International,KLM Royal Dutch Airlines,KL,7324,Other,KLM Royal Dutch Airlines,KL,International
200512,Enplaned,A,Europe,International,KLM Royal Dutch Airlines,KL,7237,Other,KLM Royal Dutch Airlines,KL,International
200512,Deplaned,A,Asia,International,Korean Air Lines,KE,4474,Other,Korean Air Lines,KE,International
200512,Enplaned,A,Asia,International,Korean Air Lines,KE,5101,Other,Korean Air Lines,KE,International
200512,Deplaned,G,Europe,International,Lufthansa German Airlines,LH,14696,Other,Lufthansa German Airlines,LH,International
200512,Enplaned,G,Europe,International,Lufthansa German Airlines,LH,14949,Other,Lufthansa German Airlines,LH,International
200512,Deplaned,B,US,Domestic,Mesa Airlines,YV,1158,Other,US Airways,US ,Terminal 1
